"value","trial_type","trial_index","time_elapsed","internal_node_id","subject","browser_info","participant_number","rt","responses","view_history","presentation_start_time","id","text","response","keypresses","answer","correct","study","experimenter_rt"
"","call-function","0","5","0.0-0.0","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","","","","","","","","","","","",""
"","survey-text","1","3077","0.0-1.0","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","3070","{""Q0"":""12""}","","","","","","","","","",""
"","instructions","2","105615","0.0-2.0","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","102537","","[{""page_index"":0,""viewing_time"":102537}]","","","","","","","","",""
"","call-function","3","105616","0.0-3.0","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","","","","","","","","","","","",""
"","html-voicekey-response","4","111648","0.0-4.0-0.0","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","341.58000000191385","","","1558085762685","1","","Magdeburg","[]","Magdeburg","true","true","5427.705000001879"
"","html-voicekey-response","5","118330","0.0-4.1-0.1","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","3852.6999999974855","","","1558085768718","1","","Magdeburg","[]","Magdeburg","true","false","6078.065000001516"
"","html-voicekey-response","6","121188","0.0-4.2-0.2","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","1697.0249999956927","","","1558085775398","2","","Berlin","[]","Berlin","true","true","2255.3849999967497"
"","html-voicekey-response","7","123288","0.0-4.3-0.3","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","872.8950000020908","","","1558085778256","2","","Berlin","[]","Berlin","true","false","1498.4049999984563"
"","html-voicekey-response","8","126522","0.0-4.4-0.4","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","1621.639999999234","","","1558085780357","3","","Ingolstadt","[]","Ingolstadt","true","true","2630.575000002864"
"","html-voicekey-response","9","129654","0.0-4.5-0.5","pq2bk2n2oes8f1y","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","12","337.70499999976016","","","1558085783590","4","","Würzburg","[]","Würzburg","true","true","2530.174999999872"
